			
time in hr:min:sec (displays in total sec)	time in hr:min:sec (displays in total sec)	annotation	layer
3537.778157	3546.699631	"Whan that Aprill with his shoures soote The droghte of March hath perced to the roote, And bathed every veyne in switch licour Of which vertu"	McClure reading 
3559.146177	3562.584208	I LOVE TO THINK OF THE RED PURPLE ROSE	McClure reading 
3563.019402	3565.630565	IN THE DARKNESS COOLED BY THE NIGHT	McClure reading 
3566.675031	3570.939931	We are served by machines making satins of sounds.	McClure reading 
3571.636241	3575.944661	Each blot of sound is a bud or a stahr.	McClure reading 
3576.553932	3579.817886	Body eats bouquets of the ear's vista.	McClure reading 
3580.079003	3587.303221	Gahhhrrr booody eyes eers noze deem thou.	McClure reading 
3588.08657	3590.26254	NOH. NAH-OHH	McClure reading 
3590.26254	3595.833021	hrooor. VOOOR-NAH! GAHROOOOO ME.	McClure reading 
3596.007099	3599.358092	Nah droooooh seerch. NAH THEE!	McClure reading 
3599.619208	3605.581364	The machines are too dull when we are lion poems that move & breathe.	McClure reading 
3605.755442	3611.238885	WHAN WE GROOOOOOOOOOOOOOR hann dree	McClure reading 
3611.456482	3616.504731	myketoth sharoo sreee thah noh deeeeeemed ez.	McClure reading 
3616.504731	3618.637181	Whan. eeeethoooze hrohh.	McClure reading 
3662.069531	3667.81409	SILENCE THE EYES! BECALM THE SENSES!	McClure reading 
3668.118726	3673.428092	"Drive drooor from the fresh repugnance,"	McClure reading 
3673.863285	3676.953162	"thou whole, thou feeling creature."	McClure reading 
3677.257798	3680.608791	Live not for others but affect thyself	McClure reading 
3681.000465	3685.308885	from thy enhanced interior--believing what thou carry.	McClure reading 
3685.831117	3691.619196	"Thy trillionic multitude of grahh, vhooshes, and silences."	McClure reading 
3691.619196	3695.274825	Oh you are heavier and dimmer than you knew	McClure reading 
3695.274825	3697.842469	and more solid and full of pleasure.	McClure reading 
3697.929508	3706.067633	Grahhr! Grahhhr! Ghrahhhrrr! Ghrahhr! Grahhrrr.	McClure reading 
3706.219951	3713.988162	Grahhrr-grahhhrr! Grahhr. Gahrahhrr Ghrahhhrrrr.	McClure reading 
3714.09696	3722.061009	Ghrarrrr. Ghrahhr! Ghrarrrrr. Gharrrr. Grahhrr.	McClure reading 
3722.148047	3729.872739	Ghrahhrr. Ghrahr. Grahhr. Grahharrr. Grahhrr.	McClure reading 
3729.959778	3740.883144	Grahhhhr. Grahhhr. Gahar. Ghrahhr. Grahhr. Grahhr.	McClure reading 
3740.970183	3749.325906	Ghrahhr. Grahhhr. Grahhr. Gratharrr! Grahhr.	McClure reading 
3749.456464	3758.399698	Ghrahrr. Ghraaaaaaahrr. Grhar. Ghhrarrr! Grahhrr.	McClure reading 
3758.486737	3766.668382	Ghrahrr. Gharr! Ghrahhhhr. Grahhrr. Ghraherrr.	McClure reading 